weather_type_rk,cold,rain,thunderstorm,fog_mist,drizzle,high_wind
000000,0,0,0,0,0,0
000001,0,0,0,0,0,1
000010,0,0,0,0,1,0
000011,0,0,0,0,1,1
000100,0,0,0,1,0,0
000101,0,0,0,1,0,1
000110,0,0,0,1,1,0
000111,0,0,0,1,1,1
001000,0,0,1,0,0,0
001001,0,0,1,0,0,1
001010,0,0,1,0,1,0
001011,0,0,1,0,1,1
001100,0,0,1,1,0,0
001101,0,0,1,1,0,1
001110,0,0,1,1,1,0
001111,0,0,1,1,1,1
010000,0,1,0,0,0,0
010001,0,1,0,0,0,1
010010,0,1,0,0,1,0
010011,0,1,0,0,1,1
010100,0,1,0,1,0,0
010101,0,1,0,1,0,1
010110,0,1,0,1,1,0
010111,0,1,0,1,1,1
011000,0,1,1,0,0,0
011001,0,1,1,0,0,1
011010,0,1,1,0,1,0
011011,0,1,1,0,1,1
011100,0,1,1,1,0,0
011101,0,1,1,1,0,1
011110,0,1,1,1,1,0
011111,0,1,1,1,1,1
100000,1,0,0,0,0,0
100001,1,0,0,0,0,1
100010,1,0,0,0,1,0
100011,1,0,0,0,1,1
100100,1,0,0,1,0,0
100101,1,0,0,1,0,1
100110,1,0,0,1,1,0
100111,1,0,0,1,1,1
101000,1,0,1,0,0,0
101001,1,0,1,0,0,1
101010,1,0,1,0,1,0
101011,1,0,1,0,1,1
101100,1,0,1,1,0,0
101101,1,0,1,1,0,1
101110,1,0,1,1,1,0
101111,1,0,1,1,1,1
110000,1,1,0,0,0,0
110001,1,1,0,0,0,1
110010,1,1,0,0,1,0
110011,1,1,0,0,1,1
110100,1,1,0,1,0,0
110101,1,1,0,1,0,1
110110,1,1,0,1,1,0
110111,1,1,0,1,1,1
111000,1,1,1,0,0,0
111001,1,1,1,0,0,1
111010,1,1,1,0,1,0
111011,1,1,1,0,1,1
111100,1,1,1,1,0,0
111101,1,1,1,1,0,1
111110,1,1,1,1,1,0
111111,1,1,1,1,1,1